HourOfCall,PropertyType,ProperCase,NumCalls,IncidentGroup,prediction
0,Infant/Primary school,Merton,1.0,False Alarm,0
0,Small refuse/rubbish container,Tower Hamlets,1.0,Fire,0
0,Loose refuse ,Bromley,1.0,Fire,0
0,Road surface/pavement ,Hounslow,1.0,Fire,0
0,Small refuse/rubbish container,Waltham Forest,2.0,Fire,0
0,Loose refuse ,Hillingdon,1.0,Fire,0
0,Domestic garden (vegetation not equipment) ,Brent,1.0,False Alarm,0
0,Park ,Haringey,1.0,Fire,0
0,Large refuse/rubbish container (eg skip/ paladin),Enfield,1.0,Fire,0
0,Road surface/pavement ,Brent,1.0,Fire,0
0,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Islington,1.0,False Alarm,0
0,Road surface/pavement ,Enfield,1.0,Fire,0
0,House - single occupancy ,Newham,1.0,False Alarm,0
0,Large refuse/rubbish container (eg skip/ paladin),Havering,1.0,Fire,0
0,Loose refuse ,Brent,7.0,Fire,0
0,Small refuse/rubbish container,Enfield,1.0,False Alarm,0
0,Park ,Waltham Forest,1.0,Fire,0
0,Road surface/pavement ,Newham,1.0,Fire,0
0,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Lewisham,1.0,Special Service,0
0,Loose refuse ,Tower Hamlets,1.0,Fire,0
0,Road surface/pavement ,Hounslow,1.0,Fire,0
0,Small refuse/rubbish container,Waltham Forest,1.0,Fire,0
0,Playground/Recreation area (not equipment),Enfield,1.0,False Alarm,0
0,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Lewisham,1.0,Special Service,0
0,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Tower Hamlets,1.0,Special Service,0
0,Loose refuse ,Hillingdon,1.0,Fire,0
0,Loose refuse ,Harrow,1.0,Fire,0
0,Small refuse/rubbish container,Havering,4.0,False Alarm,0
0,Road surface/pavement ,Westminster,4.0,Fire,0
1,Small refuse/rubbish container,Lambeth,2.0,Fire,0
1,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Hackney,1.0,False Alarm,0
1,Road surface/pavement ,Barking And dagenham,1.0,Fire,0
1,Large supermarket ,Hounslow,2.0,False Alarm,0
1,Park ,Newham,1.0,Fire,0
1,Refuse/rubbish tip ,Southwark,1.0,Fire,0
1,Tree scrub ,Redbridge,1.0,False Alarm,0
1,Roadside vegetation ,Newham,1.0,Fire,0
